# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
1000 -22.5199 21.7456 300.63 298.956 299.451 297.163 300.29 301.655 299.285 299.99 302.561 302.098
2000 -26.8161 27.8279 297.198 298.432 298.949 298.797 300.729 300.27 299.786 300.617 302.919 303.608
3000 -31.0596 29.0358 294.822 299.131 299.111 299.122 300.042 299.376 301.112 301.585 303.05 304.538
4000 -32.4202 30.6089 292.352 300.84 297.769 300.309 299.699 301.565 300.944 302.206 302.839 306.528
5000 -34.4002 31.6419 290.924 301.348 297.558 298.661 300.692 300.949 300.732 301.354 302.423 308.807
6000 -35.6875 32.3318 289.541 301.721 296.27 299.934 300.919 300.288 301.501 300.74 302.34 310.308
7000 -38.4593 35.3348 289.061 301.594 294.734 301.515 299.457 301.054 300.609 299.008 304.557 312.364
8000 -42.4134 38.0138 288.074 301.642 295.301 300.792 298.918 302.622 300.364 297.823 306.673 314.823
9000 -42.3477 38.2456 286.883 302.131 294.137 301.238 297.875 301.9 299.803 298.947 307.56 316.275
10000 -42.9408 40.0608 284.784 304.172 293.296 301.955 297.271 301.218 300.959 299.776 307.142 316.095
11000 -45.0435 44.4991 281.428 304.445 294.553 300.122 297.654 300.181 300.893 300.83 306.156 317.807
12000 -46.5301 45.1499 281.018 302.875 295.37 299.16 299.101 300.714 299.248 301.254 306.415 318.104
13000 -46.779 45.5283 281.188 301.413 296.448 298.253 300.377 298.49 300.139 302.039 307.887 317.256
14000 -49.0162 46.7546 280.144 301.772 297.093 297.108 301.548 297.993 300.372 300.558 308.479 318.807
15000 -49.3545 50.8617 278.332 299.704 298.674 295.464 303.094 298.2 299.766 299.974 309.645 320.148
16000 -51.4707 50.7952 279.06 298.209 299.163 294.684 304.72 296.574 299.959 302.144 308.752 320.582
17000 -56.7108 54.238 278.188 296.613 298.915 297.516 301.596 296.957 300.961 303.672 307.558 322.55
18000 -57.6121 54.2384 278.294 296.127 298.312 297.662 300.585 297.741 300.505 303.996 307.297 323.626
19000 -60.9869 56.8952 278.866 293.906 299.487 298.447 301.166 297.538 299.294 303.43 309.972 324.274
20000 -63.7655 57.2999 278.076 293.418 298.819 301.053 299.94 296.375 298.055 305.312 312.292 323.497
21000 -64.134 60.0542 277.08 292.586 298.077 302.09 299.588 296.074 296.741 306.965 311.672 323.939
22000 -64.5777 60.0553 278.197 292.014 297.845 300.429 301.157 295.953 297.124 307.233 311.675 324.885
23000 -65.303 61.9141 278.131 290.893 298.273 300.573 299.328 297.766 297.892 307.111 310.514 325.097
24000 -66.2888 63.0397 277.663 291.018 297.487 301.795 296.166 298.996 298.91 306.686 310.848 325.342
25000 -68.7565 64.2568 276.899 290.992 297.58 299.157 298.952 298.542 299.422 307.155 309.537 326.162
26000 -70.6088 66.4256 277.107 288.848 299.462 297.359 299.711 299.275 298.432 307.804 308.753 329.307
27000 -69.5591 67.0656 278.054 287.911 299.968 296.18 300.618 300.311 298.894 307.002 307.975 331.255
28000 -74.5296 69.2554 277.052 288.317 298.951 296.751 300.162 299.6 300.69 306.017 306.752 332.92
29000 -73.2517 69.5636 277.751 288.383 297.781 296.596 299.733 299.471 299.939 306.56 307.669 331.131
30000 -74.9287 70.9746 276.959 288.068 298.289 296.281 299.753 300.802 299.362 307.674 309.231 327.909
31000 -74.7524 71.9045 275.882 289.086 298.573 297.656 298.844 300.045 300.565 305.583 310.675 326.978
32000 -74.3383 72.4255 275.777 287.712 300.705 297.007 298.164 300.579 301.322 305.459 311.474 325.566
33000 -75.5069 72.239 276.113 287.981 299.136 297.482 297.742 300.344 302.209 305.868 310.798 325.502
34000 -75.5391 75.4169 275.379 286.879 298.28 296.891 297.074 302.053 302.652 306.064 310.315 326.411
35000 -78.3695 76.4296 276.475 285.137 296.818 300.066 295.916 301.3 303.596 304.582 311.763 327.748
36000 -80.5019 76.8052 275.787 285.003 297.338 299.393 296.3 301.977 302.835 304.213 312.747 328.101
37000 -80.3149 77.4085 276.053 286.021 295.944 299.287 297.452 301.618 301.807 304.238 314.807 325.981
38000 -81.6699 79.3768 275.443 286.472 296.064 299.176 297.259 302.801 300.779 304.782 315.88 325.798
39000 -83.4777 81.3273 273.294 287.668 295.403 298.667 296.881 303.007 302.233 303.057 316.843 325.948
40000 -81.4632 84.4423 273.039 286.914 295.473 297.631 297.529 303.131 300.764 302.606 317.361 327.067
41000 -87.0738 85.0603 271.071 286.286 297.244 296.882 297.787 302.769 302.475 303.123 317.144 327.224
42000 -85.4459 86.7792 271.262 287.995 294.801 299.49 296.047 301.818 302.879 303.36 317.455 326.22
43000 -84.0754 86.2752 271.681 286.624 293.404 300.856 296.731 299.899 303.577 305.28 316.418 325.655
44000 -87.2383 87.196 272.96 285.902 291.886 301.62 297.442 299.769 304.107 306.758 315.852 326.12
45000 -89.4286 88.9015 271.623 286.749 290.848 301.826 298.02 297.977 304.717 308.297 314.327 326.898
46000 -90.6035 92.8326 268.542 288.493 291.369 301.024 297.945 298.389 304.968 308.633 313.783 328.599
47000 -92.0531 95.4192 267.805 289.526 290.907 300.981 296.67 299.164 305.495 307.462 314.486 330.099
48000 -95.065 93.8779 268.028 289.223 291.135 300.456 296.907 298.777 305.666 308.056 314.163 330.073
49000 -95.5728 96.1783 268.115 288.522 290.893 300.381 296.105 299.43 305.082 308.813 314.226 330.412
50000 -99.4618 97.7211 269.122 287.27 290.096 299.115 297.079 300.762 304.621 308.318 314.221 331.515
51000 -100.376 98.5394 268.708 288.029 288.93 298.984 300 299.11 305.701 307.227 316.606 331.139
52000 -102.031 99.7593 267.998 287.88 287.829 299.851 300.482 298.919 305.626 307.436 317.457 330.661
53000 -98.952 100.723 268.818 288.182 287.131 298.154 301.243 299.215 304.609 306.917 319.288 329.283
54000 -102.479 101.77 268.239 287.98 287.435 296.704 301.539 299.763 305.354 306.56 320.21 327.922
55000 -104.305 102.348 268.787 285.48 288.538 296.35 301.965 300.666 305.667 307.573 321.485 327.567
56000 -107.202 103.269 268.751 283.911 289.772 295.316 302.009 301.865 304.806 307.093 321.96 327.839
57000 -107.912 104.632 269.614 283.363 290.477 295.805 301.165 302.469 302.718 308.454 320.961 328.203
58000 -106.03 105.269 270.228 282.268 290.347 295.844 302.292 303.516 300.491 309.778 321.716 326.493
59000 -106.751 107.983 269.833 280.479 291.182 295.977 302.669 302.143 300.691 310.215 321.415 326.204
60000 -108.762 108.175 269.206 282.469 290.606 295.382 302.938 302.938 301.199 309.277 322.369 325.631
61000 -109.641 109.249 269.209 282.557 289.303 295.656 303.212 304 299.67 311.29 320.834 326.242
62000 -111.693 110.196 269.291 283.557 287.693 296.274 303.545 303.389 298.988 311.971 320.331 327.185
63000 -111.372 111.414 268.14 284.921 287.403 296.224 303.545 302.974 299.206 313.616 319.579 329.081
64000 -113.981 113.684 266.02 285.444 287.902 295.624 305.637 298.785 300.462 313.544 319.987 328.306
