# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
1000 6534.76 639.47 4232.82 6480.12 178.65 4206.2
2000 4656.86 -5316.03 4047.3 4852.96 -5390.64 4083.12
3000 5515.34 -4769.67 4342.55 5696.24 -4361.37 4316.96
4000 6862.17 -2739.07 3889.7 7043.44 -1728.75 3862.87
5000 8052.44 -4273.71 2741.52 8530.54 -3434.12 2735.27
6000 9000 -5967.08 3074.45 9766.72 -4851.08 3026.28
7000 8247.07 -7546.17 2644.75 8748.1 -6051.63 2638.84
8000 10069.8 -7735.5 2214.55 10402.7 -5851.61 2177.62
9000 13999.9 -11489.7 2070.11 14240.7 -9346 2036.91
10000 16861.4 -6882.2 1418.05 16713.4 -4622.96 1438.35
11000 13994.1 -1965.03 1539.44 14101.5 80.6829 1536.93
12000 10968.1 -4300.51 2328.61 10704.2 -2748.14 2273.51
13000 7010.83 -6461.7 2309.41 6961.61 -4512.53 2299.23
14000 3726.27 -4863.61 2636.82 4123.62 -2318.23 2647.45
15000 4450.89 -8040.31 2982.73 4612 -5116.45 3031.96
16000 3987.47 -9195.88 3058.57 4399.38 -6297.88 2996.59
17000 4647.33 -9682.55 2488.45 5000.87 -6184.69 2436.79
18000 3744.73 -9635.29 1969.22 4283.38 -6416.4 1945.37
19000 2829.47 -5488.69 1051.61 3462.1 -2830.36 1082.76
20000 119.149 -7544.29 1077.07 672.554 -5198.37 1060.39
21000 -1217.78 -8269.18 643.056 -1063.4 -5658.56 618.457
22000 -3411.27 -4673.21 1281.69 -3511.35 -1866.06 1274.43
23000 -2605.99 -7828.26 512.707 -3124.24 -4836.3 488.612
24000 -1630.37 -3155.03 293.922 -2555.35 -149.017 272.418
25000 -3318.42 -3748.19 118.13 -4184.57 -426.91 146.314
26000 -7345.95 -6530.69 -34.133 -8047.69 -3168.78 -18.6657
27000 -11552.6 -4453.14 -308.732 -11880.5 -1149.83 -286.71
28000 -13380.6 -2251.41 298.901 -13429.5 700.696 255.15
29000 -15697.4 -1400.19 -220.673 -15314.3 1642.81 -277.505
30000 -12192.7 -860.632 -1238.08 -12369.7 2194.36 -1259.16
31000 -11019.5 -578.507 -1945.71 -11576.3 2587.89 -1911.2
32000 -11254.3 1297.31 -2604.58 -11489.5 4252.65 -2631.24
33000 -9262.69 2083.58 -2507.93 -9626.13 5160.21 -2533.19
34000 -8597.88 3071.22 -2272.57 -8430.81 6695.77 -2320.91
35000 -9078.83 4237.94 -2277.86 -9025 7711.79 -2241
36000 -11669.7 1622.88 -2769.12 -12341.8 5094.59 -2773.58
37000 -12209.1 -3669.71 -3118.23 -13345.7 -10.6407 -3127.33
38000 -12968.2 -3657.18 -3121.29 -13549.1 -208.239 -3125.66
39000 -12131.1 -1174.37 -2908.2 -12859.9 1831.89 -2914.2
40000 -12984.2 3428.35 -3756.93 -14346.5 6097.98 -3736.23
41000 -16398.3 -1204.85 -3243.98 -17361.1 1559.82 -3222.31
42000 -17892.3 -1251.73 -3128.49 -18245.3 1679.53 -3121.74
43000 -15479.2 1384.2 -4114.3 -15664.5 4677.28 -4105.39
44000 -13276.1 -2711.06 -4249.46 -13179.9 1281.61 -4267.84
45000 -10624.7 -2825.85 -4221.03 -10624.8 1017.9 -4209.69
46000 -6860.85 -7945.38 -4150.44 -7378.84 -3825.75 -4116.26
47000 -5094.37 -8903 -4132.45 -6215.35 -4362.81 -4107.72
48000 -5004.21 -5529.82 -4378.07 -6183.44 -1075.3 -4334.58
49000 -3292.43 -3738.41 -4990.83 -4251.8 285.365 -4996.94
50000 -2207.67 -5016.46 -5476.32 -3444.54 -1455.68 -5465.83
51000 -1678.33 -7068.03 -5651.07 -3243.32 -3928.34 -5660.92
52000 -2334.31 -6255.85 -4111.23 -3584.81 -3228 -4132.3
53000 -962.656 -10809.3 -3109.27 -1671.64 -7368.59 -3101.85
54000 -775.275 -10327.7 -2898.1 -1426.51 -6989.63 -2906.99
55000 2143.61 -7514.69 -3462.1 1173.54 -3497.81 -3489.63
56000 3267.67 -7467.89 -4016.53 2098.97 -3083.01 -4012.87
57000 5614 -6973.85 -4308.53 5106.26 -2827.36 -4343.49
58000 10057.7 -8433.89 -4600.52 9903.49 -4730.68 -4595.8
59000 11437.6 -5115.13 -4398.97 11261.6 -1572.91 -4372.59
60000 15482.7 -4024.53 -4485.23 15337.5 -471.182 -4457.85
61000 15578.1 -4834.05 -4310.58 15190.3 -1034.19 -4328.43
62000 13512.1 -8815.91 -4940.37 13249.2 -5152.54 -4939.03
63000 13141.4 -12412.1 -5575.03 13354.4 -8912.59 -5599.07
64000 11002.1 -12829.6 -5021.93 11283.2 -9102.45 -5013.33
65000 9236.99 -9043.91 -5509.8 9602.06 -5406.45 -5511.49
66000 7835.1 -8934.88 -5587.39 7899.15 -5058.81 -5565.98
67000 11353.5 -9504.22 -4446 10902.3 -5976.78 -4428.04
68000 12916.6 -9788.34 -3683.5 12580.8 -5784.5 -3705.76
69000 13917.6 -7329.65 -4092.49 12762.9 -3247.63 -4086.43
70000 13795.1 -7983.04 -5058.41 12073.7 -3277.87 -5055.39
71000 13715.1 -4323.12 -5347.15 12409.9 -179.044 -5316.6
72000 12619.4 -4960.9 -5198.27 11942.5 -706.792 -5189.55
73000 15209.6 -5174.87 -4826.9 14439.8 -1078.62 -4821.74
74000 16326.2 -5104.36 -5012.39 15693.5 -1035.75 -5056.91
